 {	1558883	777388182	0.113700	56.700354
ra	1550686	778938868	0.113102	56.813456
el	1549646	780488514	0.113027	56.926483
_F	1548341	782036855	0.112931	57.039414
ca	1533701	783570556	0.111864	57.151278
ng	1529102	785099658	0.111528	57.262806
 D	1522741	786622399	0.111064	57.373870
}\x0A	1504527	788126926	0.109736	57.483606
ve	1496111	789623037	0.109122	57.592728
rn	1488444	791111481	0.108563	57.701290
rt	1486645	792598126	0.108431	57.809722
eg	1482417	794080543	0.108123	57.917845
LA	1480762	795561305	0.108002	58.025847
d_	1480613	797041918	0.107991	58.133838
ac	1474050	798515968	0.107513	58.241351
OR	1464740	799980708	0.106834	58.348185
r_	1464661	801445369	0.106828	58.455013
DP	1464181	802909550	0.106793	58.561806
pr	1449835	804359385	0.105747	58.667552
cl	1442258	805801643	0.105194	58.772746
 b	1440279	807241922	0.105050	58.877796
ck	1440045	808681967	0.105033	58.982829
c_	1435757	810117724	0.104720	59.087548
IO	1434288	811552012	0.104613	59.192161
\x09s	1428687	812980699	0.104204	59.296365
fo	1417538	814398237	0.103391	59.399756
0,	1411874	815810111	0.102978	59.502734
_V	1399342	817209453	0.102064	59.604798
s_	1394511	818603964	0.101711	59.706509
 o	1390239	819994203	0.101400	59.807909
ou	1388154	821382357	0.101248	59.909157
pe	1386776	822769133	0.101147	60.010304
**	1377715	824146848	0.100486	60.110790
o 	1371940	825518788	0.100065	60.210856
AL	1368526	826887314	0.099816	60.310672
ge	1357298	828244612	0.098997	60.409669
ES	1347432	829592044	0.098278	60.507947
pa	1346543	830938587	0.098213	60.606159
BI	1345439	832284026	0.098132	60.704292
la	1338086	833622112	0.097596	60.801888
3_	1337464	834959576	0.097551	60.899438
da	1328853	836288429	0.096923	60.996361
ha	1322535	837610964	0.096462	61.092822
IG	1320516	838931480	0.096314	61.189137
(s	1317383	840248863	0.096086	61.285223
CT	1281874	841530737	0.093496	61.378719
ec	1266925	842797662	0.092406	61.471125
: 	1265845	844063507	0.092327	61.563452
TL	1258356	845321863	0.091781	61.655232
us	1250361	846572224	0.091198	61.746430
CR	1250266	847822490	0.091191	61.837620
nc	1244866	849067356	0.090797	61.928417
ff	1244366	850311722	0.090760	62.019178
am	1236983	851548705	0.090222	62.109399
_m	1231273	852779978	0.089805	62.199205
c 	1229561	854009539	0.089680	62.288885
4_	1212902	855222441	0.088465	62.377351
m_	1201322	856423763	0.087621	62.464971
di	1186480	857610243	0.086538	62.551510
AR	1177430	858787673	0.085878	62.637388
od	1175666	859963339	0.085750	62.723137
ll	1172236	861135575	0.085499	62.808637
LE	1170166	862305741	0.085348	62.893985
Y_	1155908	863461649	0.084308	62.978294
10	1153603	864615252	0.084140	63.062434
ID	1152437	865767689	0.084055	63.146489
of	1151969	866919658	0.084021	63.230510
EV	1150968	868070626	0.083948	63.314459
0\x0A	1150656	869221282	0.083925	63.398384
_a	1149530	870370812	0.083843	63.482227
 C	1147387	871518199	0.083687	63.565914
K_	1146903	872665102	0.083652	63.649566
po	1145208	873810310	0.083528	63.733094
 e	1144851	874955161	0.083502	63.816596
_1	1144167	876099328	0.083452	63.900048
AM	1137521	877236849	0.082967	63.983015
p_	1134067	878370916	0.082715	64.065731
_G	1131360	879502276	0.082518	64.148249
dr	1130067	880632343	0.082424	64.230672
ut	1117556	881749899	0.081511	64.312184
_f	1117284	882867183	0.081491	64.393675
 &	1113529	883980712	0.081217	64.474892
