X_	3092214	703049052	0.225545	51.280107
_L	3078421	706127473	0.224539	51.504646
RU	3069952	709197425	0.223921	51.728567
 A	3047804	712245229	0.222306	51.950872
TH	3045751	715290980	0.222156	52.173028
LI	2999041	718290021	0.218749	52.391777
N_	2981483	721271504	0.217468	52.609245
AD	2963781	724235285	0.216177	52.825422
 R	2959866	727195151	0.215891	53.041313
HI	2953719	730148870	0.215443	53.256756
FF	2942685	733091555	0.214638	53.471394
SK	2922561	736014116	0.213170	53.684565
SI	2880421	738894537	0.210097	53.894662
DI	2858390	741752927	0.208490	54.103151
\x0A 	2849669	744602596	0.207854	54.311005
N 	2845295	747447891	0.207535	54.518540
LA	2836355	750284246	0.206883	54.725422
LO	2829635	753113881	0.206392	54.931815
ND	2793136	755907017	0.203730	55.135545
_B	2792732	758699749	0.203701	55.339246
ME	2778425	761478174	0.202657	55.541903
IS	2755083	764233257	0.200955	55.742857
RO	2720935	766954192	0.198464	55.941321
UC	2712287	769666479	0.197833	56.139154
SH	2670898	772337377	0.194814	56.333969
_F	2665558	775002935	0.194425	56.528393
 (	2649174	777652109	0.193230	56.721623
UN	2615988	780268097	0.190809	56.912432
1_	2597143	782865240	0.189435	57.101866
HE	2536942	785402182	0.185043	57.286910
PE	2532790	787934972	0.184741	57.471651
 M	2530824	790465796	0.184597	57.656248
CH	2499764	792965560	0.182332	57.838580
RT	2498589	795464149	0.182246	58.020826
TO	2493300	797957449	0.181860	58.202686
F 	2478058	800435507	0.180749	58.383434
CA	2474342	802909849	0.180477	58.563912
TU	2470092	805379941	0.180167	58.744079
R 	2468968	807848909	0.180086	58.924165
VE	2467301	810316210	0.179964	59.104129
 B	2461027	812777237	0.179506	59.283635
EG	2458445	815235682	0.179318	59.462953
CL	2457712	817693394	0.179264	59.642218
AC	2434723	820128117	0.177588	59.819805
IG	2433658	822561775	0.177510	59.997315
A_	2401412	824963187	0.175158	60.172473
2_	2382546	827345733	0.173782	60.346255
EL	2378448	829724181	0.173483	60.519738
AM	2377944	832102125	0.173446	60.693184
CE	2356627	834458752	0.171891	60.865076
PC	2344463	836803215	0.171004	61.036080
_O	2338998	839142213	0.170606	61.206686
 P	2336063	841478276	0.170391	61.377077
US	2322873	843801149	0.169429	61.546506
UR	2295703	846096852	0.167448	61.713954
EA	2285922	848382774	0.166734	61.880688
)\x0A	2275603	850658377	0.165982	62.046670
K 	2268103	852926480	0.165434	62.212104
DA	2247494	855173974	0.163931	62.376036
OU	2225933	857399907	0.162359	62.538394
NS	2214224	859614131	0.161505	62.699899
EC	2201653	861815784	0.160588	62.860486
PA	2197785	864013569	0.160306	63.020792
FT	2149604	866163173	0.156791	63.177583
F_	2146974	868310147	0.156599	63.334183
PR	2143877	870454024	0.156374	63.490556
OC	2141137	872595161	0.156174	63.646730
{\x0A	2134785	874729946	0.155710	63.802440
NG	2115013	876844959	0.154268	63.956708
K_	2104072	878949031	0.153470	64.110178
\x09I	2101725	881050756	0.153299	64.263477
\x09 	2082276	883133032	0.151880	64.415358
GE	2074567	885207599	0.151318	64.566676
LL	2028031	887235630	0.147924	64.714600
RR	1986658	889222288	0.144906	64.859506
NC	1966783	891189071	0.143456	65.002962
AP	1962995	893152066	0.143180	65.146142
UT	1950824	895102890	0.142292	65.288434
_V	1949955	897052845	0.142229	65.430663
 F	1942759	898995604	0.141704	65.572367
BI	1934819	900930423	0.141125	65.713492
PO	1913685	902844108	0.139583	65.853075
PI	1901168	904745276	0.138670	65.991746
CK	1889491	906634767	0.137819	66.129565
 "	1882224	908516991	0.137289	66.266853
OD	1871098	910388089	0.136477	66.403330
DR	1855635	912243724	0.135349	66.538680
CR	1854358	914098082	0.135256	66.673936
HA	1836345	915934427	0.133942	66.807878
MP	1827739	917762166	0.133315	66.941192
SS	1822574	919584740	0.132938	67.074130
BL	1821411	921406151	0.132853	67.206983
) 	1803602	923209753	0.131554	67.338537
FO	1800116	925009869	0.131300	67.469837
\x09R	1785565	926795434	0.130238	67.600075
_G	1766233	928561667	0.128828	67.728904
O_	1761039	930322706	0.128449	67.857353
